;Unnamed: 0;Summons Number;Plate ID;Registration State;Plate Type;Issue Date;Violation Code;Vehicle Body Type;Vehicle Make;Issuing Agency;Street Code1;Street Code2;Street Code3;Vehicle Expiration Date;Violation Location;Violation Precinct;Issuer Precinct;Issuer Code;Issuer Command;Issuer Squad;Violation Time;Time First Observed;Violation County;Violation In Front Of Or Opposite;Number;Street;Intersecting Street;Date First Observed;Law Section;Sub Division;Violation Legal Code;Days Parking In Effect    ;From Hours In Effect;To Hours In Effect;Vehicle Color;Unregistered Vehicle?;Vehicle Year;Meter Number;Feet From Curb;Violation Post Code;Violation Description;No Standing or Stopping Violation;Hydrant Violation;Double Parking Violation
1814;7532385;7728739311;GBH5741;NY;PAS;05/01/2014;37;4DSD;VOLVO;T;29830;68930;31830;20141001;84.0;84;84;358226;T301;C;1124A;1046A;K;F;161;Court St;;0.0;408.0;h1;;Y;0800A;0700P;BK;;2001.0;318-3004;0.0;05 3;37-Expired Muni Meter;;;
1818;618059;7329378124;T523675C;NY;OMT;08/17/2013;21;4DSD;TOYOT;T;80630;40404;40404;20130831;83.0;83;83;357052;T301;M;0738A;;K;F;354;St Nicholas Ave;;0.0;408.0;d1;;Y;0730A;0800A;WH;;2010.0;;0.0;P -;21-No Parking (street clean);;;
1819;948778;7029492330;DJB1168;NY;PAS;08/29/2013;21;4DSD;LEXUS;T;7180;5580;5680;20150621;72.0;72;72;345534;T302;Q;0937A;;K;F;289;20th St;;0.0;408.0;d1;;Y;0930A;1100A;BK;;2002.0;;0.0;C1 -;21-No Parking (street clean);;;
1823;1330834;7755436731;DSZ3715;NY;PAS;09/12/2013;38;4DSD;HONDA;T;54580;35780;15140;20141010;106.0;106;106;355107;T402;C;1252P;;Q;F;71-32A;Main St;;0.0;408.0;h1;;YYYYY;0730A;0700P;BROWN;;2007.0;;0.0;06 -;38-Failure to Display Muni Rec;;;
1824;6822594;7512375062;GFS9258;NY;PAS;04/23/2014;40;4DSD;TOYOT;T;10180;28230;73330;20150321;68.0;68;68;350410;T802;B;1142P;;K;F;145;72nd St;;0.0;408.0;e2;;YYYYYYY;;;WH;;2013.0;;0.0;G 31;40-Fire Hydrant;;;
1826;7481867;7089786389;FLJ1618;NY;PAS;04/28/2014;70;4DSD;NISSA;T;11840;0;0;20140328;110.0;110;110;356236;T401;L;0602A;;Q;I;N;57th Ave;50ft W/of 99th St;0.0;408.0;j3;;YYYYYYY;;;GY;;2004.0;;0.0;O 41;70A-Reg. Sticker Expired (NYS);;;
1829;2382987;7087181646;242242N;NJ;PAS;10/18/2013;21;4DSD;HONDA;T;92130;0;0;88888888;60.0;60;60;354086;T302;M;0807A;;K;I;N;W 37th St;35ft E/of Surf Ave;0.0;408.0;d1;;Y  Y;0800A;0930A;BLACK;;0.0;;0.0;B2 -;21-No Parking (street clean);;;
1833;5475427;4002510311;DMM8052;NY;PAS;02/19/2014;5;4DSD;DODGE;V;0;0;0;0;;0;0;0;;;1144A;;;;;WB FORDHAM RD @ MARI;ON AVE;0.0;1111.0;C;T;;;;BL;;2005.0;;0.0;;BUS LANE VIOLATION;;;
1839;8674028;7828541594;P384854;IL;PAS;06/10/2014;40;4DSD;ME/BE;T;32590;0;0;20140088;6.0;6;6;353063;T502;A;0910P;;NY;I;E;Thompson St;20ft N/of W Houston;0.0;408.0;e2;;YYYYYYY;;;SILVE;;0.0;;2.0;99 6;40-Fire Hydrant;;;
1840;2517501;7324741721;GHU8120;NY;PAS;10/23/2013;38;4DSD;VOLKS;T;59990;13440;13440;20150707;114.0;114;114;347619;T401;F;0542P;;Q;O;97-41;Queens Blvd;;0.0;408.0;h1;;Y;0800A;0700P;WH;;2013.0;;0.0;N -;38-Failure to Display Muni Rec;;;
1844;5457920;7873266138;WND1483;VA;PAS;02/19/2014;14;4DSD;NISSA;T;10910;34430;34450;20141188;14.0;14;14;351933;T506;X;0610P;;NY;F;419;9th Ave;;0.0;408.0;c;;YYYYY;0400P;0700P;WHITE;;0.0;;0.0;01 6;14-No Standing;;;
1848;6996962;7032723469;FZX6273;NY;PAS;04/04/2014;40;4DSD;HONDA;T;29620;15520;47820;20140927;43.0;43;43;332373;T801;B;1019P;;BX;F;2433;E Tremont Ave;;0.0;408.0;e2;;YYYYYYY;;;GREY;;2006.0;;0.0;D 21;40-Fire Hydrant;;;
1850;1615252;5070812361;BEU6751;NY;PAS;09/22/2013;7;4DSD;SATUR;V;0;0;0;0;;0;0;0;;;0427P;;;;;ATLANTIC AVE.(E/B)@L;OGAN ST.-LO-3;0.0;1111.0;D;T;;;;BK;;1996.0;;0.0;;FAILURE TO STOP AT RED LIGHT;;;
1851;4791829;7505973460;END4198;NY;PAS;12/06/2013;70;4DSD;CHEVR;T;48030;11390;23230;20131201;90.0;90;90;358153;T301;A;0955A;;K;F;217;Havemeyer St;;0.0;408.0;j3;;YYYYYYY;;;BK;;2001.0;;0.0;14 -;70A-Reg. Sticker Expired (NYS);;;
1852;7123028;7469834138;FPC6225;NY;PAS;04/02/2014;71;4DSD;NISSA;T;16640;24390;24490;20150905;107.0;107;107;346007;T402;J;1110A;;Q;F;167-03;81st Ave;;0.0;408.0;j6;;YYYYYYY;;;GREY;;2007.0;;0.0;08 4;71A-Insp Sticker Expired (NYS);;;
1855;1271783;5070595428;EXH4858;NY;PAS;09/10/2013;7;4DSD;HONDA;V;0;0;0;0;;0;0;0;;;0241P;;;;;HORACE HARDING EXPWY;.(E/B)@159TH ST.-RL-;0.0;1111.0;D;T;;;;BR;;2011.0;;0.0;;FAILURE TO STOP AT RED LIGHT;;;
1856;624745;7490192912;FLZ5452;NY;PAS;08/17/2013;71;4DSD;LEXUS;T;51090;20640;20740;20150523;102.0;102;102;353158;T402;C;1242P;;Q;F;113-13;Jamaica Ave;;0.0;408.0;j6;;YYYYYYY;;;GY;;2002.0;;0.0;20 -;71A-Insp Sticker Expired (NYS);;;
1863;1326881;7459149860;BAL2218;NY;PAS;09/12/2013;38;4DSD;TOYOT;T;23140;17790;18040;20131130;103.0;103;103;341155;T402;B;0351P;;Q;F;88-09;148th St;;0.0;408.0;h1;;Y;0830A;0700P;GY;;2008.0;;0.0;02 -;38-Failure to Display Muni Rec;;;
1864;3007970;7739096830;GJU1634;NY;PAS;11/08/2013;21;4DSD;ME/BE;T;53130;40030;25330;20131215;83.0;83;83;358173;T301;C;1215P;;K;F;104;Jefferson St;;0.0;408.0;d1;;Y  Y;1200A;0130P;GREY;;2006.0;;0.0;11 -;21-No Parking (street clean);;;
1865;3863201;7005283314;AMC2381;NY;PAS;01/11/2014;21;4DSD;HYUND;T;59990;14740;14810;20150422;112.0;112;112;355544;T401;M;0841A;;Q;F;107-21;Queens Blvd;;0.0;408.0;d1;;Y;0830A;0900A;BLACK;;2007.0;;0.0;A-AM;21-No Parking (street clean);;;
1869;8570099;7380645857;549UNN;WI;PAS;06/06/2014;38;4DSD;ME/BE;T;68020;21520;26070;20140188;40.0;40;40;353015;T201;D;1204P;;BX;F;2778;3rd Ave;;0.0;408.0;h1;;Y;0800A;0700P;SILVE;;0.0;;0.0;22 2;38-Failure to Display Muni Rec;;;
1870;3324929;7097560502;FYW7746;NY;PAS;11/19/2013;21;4DSD;ME/BE;T;7740;8290;8440;20140725;114.0;114;114;351971;T401;X;1138A;;Q;F;33-67;29th St;;0.0;408.0;d1;;Y  Y;1130A;0100P;WH;;1988.0;;0.0;51-A;21-No Parking (street clean);;;
1873;8272255;7088294242;647YDA;CT;PAS;05/27/2014;21;4DSD;NISSA;T;90880;54050;49950;20140088;61.0;61;61;341299;T302;M;0857A;;K;F;1755;W 8th St;;0.0;408.0;d1;;Y;0830A;1000A;GOLD;;0.0;;0.0;O 32;21-No Parking (street clean);;;
1876;6837837;7686235828;GMK4630;NY;PAS;04/08/2014;38;4DSD;ACURA;T;47990;9890;10090;20160114;108.0;108;108;356327;T401;E;0856A;;Q;F;43-22;Greenpoint Ave;;0.0;408.0;h1;;Y;0830A;0700P;GY;;2008.0;;0.0;37 4;38-Failure to Display Muni Rec;;;
1882;4201400;7168700327;GLR6962;NY;PAS;01/25/2014;27;4DSD;NISSA;T;20450;23990;29755;20151011;120.0;120;120;349516;T303;M;1034A;;R;F;651;Broadway;;0.0;408.0;d3;;;;;WH;;2004.0;;0.0;D-AM;27-No Parking (exc handicap);;;
1886;5573104;5072830044;DWH6571;NY;PAS;02/23/2014;7;4DSD;FORD;V;0;0;0;0;;0;0;0;;;0548A;;;;;BRUCKNER BLVD.(E/B)@;BRONX RIVER PKWY RAM;0.0;1111.0;D;T;;;;LTBL;;1999.0;;0.0;;FAILURE TO STOP AT RED LIGHT;;;
1892;4976917;7623673907;M7R795;NY;PAS;12/30/2013;38;4DSD;CADIL;T;24690;36270;36290;20140717;28.0;28;28;358840;T103;N;0420P;;NY;F;317;Lenox Ave;;0.0;408.0;h1;;Y;0900A;0700P;GOLD;;2004.0;;0.0;C -;38-Failure to Display Muni Rec;;;
1901;3318038;7776162346;GEH5523;NY;PAS;11/19/2013;31;4DSD;AUDI;T;34510;10410;10510;20150213;18.0;18;18;355450;T106;C;1042A;;NY;F;44-46;W 37th St;;0.0;408.0;l3;;YYYYY;0600A;0700P;BK;;2011.0;;0.0;57 -;31-No Stand (Com. Mtr. Zone);;;
1904;8492255;7624625076;65CC34;MA;PAS;06/03/2014;37;4DSD;HONDA;T;13430;51030;20530;20140488;84.0;84;84;356519;T301;D;1154A;1147A;K;F;349;Atlantic Ave;;0.0;408.0;h1;;Y;0900A;0700P;TAN;;0.0;301-3029;0.0;05 3;37-Expired Muni Meter;;;
1906;4869239;7952378740;FFA2566;NY;PAS;12/07/2013;71;4DSD;CADIL;T;19690;14310;25890;20141018;5.0;5;5;357073;T101;E;1112A;;NY;F;48;E Broadway.;;0.0;408.0;j6;;YYYYYYY;;;GREY;;2010.0;;0.0;19 -;71A-Insp Sticker Expired (NYS);;;
1915;2648321;7906378635;4ANB30;MA;PAS;10/27/2013;14;4DSD;HYUND;T;34790;10810;10910;88880088;18.0;18;18;349905;T106;M;0343P;;NY;F;332;W 51st St;;0.0;408.0;c;;YYYYYYY;;;BLACK;;0.0;;0.0;31 -;14-No Standing;;;
1916;7414469;7804622569;GHR2190;NY;PAS;04/30/2014;21;4DSD;BMW;T;93930;94330;54060;20150804;94.0;94;94;355112;T301;D;1202P;;K;O;262;Withers St;;0.0;408.0;d1;;Y;1130A;0100P;BLACK;;1987.0;;0.0;15 3;21-No Parking (street clean);;;
1917;3895028;7399027523;417TJZ;CT;PAS;01/13/2014;31;4DSD;MAZDA;T;13610;29290;19890;20140088;6.0;6;6;358600;T105;C;0235P;;NY;O;575;Broadway;;0.0;408.0;l3;;YYYYY;0700A;0600P;GREY;;0.0;;0.0;131;31-No Stand (Com. Mtr. Zone);;;
1921;1706622;7869911525;E44CDY;NJ;PAS;09/25/2013;37;4DSD;CHRYS;T;17510;13612;10210;88888888;13.0;13;13;358130;T102;L;0437P;0428P;NY;F;160;E 26th St;;0.0;408.0;h1;;Y;0900A;0700P;WHITE;;0.0;144-7178;0.0;07 -;37-Expired Muni Meter;;;
1926;5975811;7125819450;L13CBB;NJ;PAS;03/08/2014;17;4DSD;TOYOT;T;53830;0;0;88888888;84.0;84;84;357357;T301;S;0913A;;K;I;S;Joralemon St;20ft E/of Court St;0.0;408.0;c4;;YYYYYYY;;;BLACK;;0.0;;0.0;01 3;17-No Stand (exc auth veh);;;
1928;8360613;8003352411;BDN4601;NY;PAS;05/29/2014;38;4DSD;CHRYS;T;51090;24440;24540;20160308;103.0;103;103;358612;T402;D;0328P;;Q;F;168-40;Jamaica Ave;;0.0;408.0;h1;;Y;0900A;0700P;SILVE;;2006.0;;0.0;14 4;38-Failure to Display Muni Rec;;;
1929;6337231;7664481600;EYB9959;NY;PAS;03/20/2014;38;4DSD;TOYOT;T;10010;18470;18490;20140402;19.0;19;19;358929;T103;R;0357P;;NY;F;1433;1st Ave;;0.0;408.0;h1;;Y;0830A;0700P;WH;;2013.0;;0.0;03 7;38-Failure to Display Muni Rec;;;
1936;4264559;7761111005;GHL3915;NY;PAS;01/28/2014;21;4DSD;NISSA;T;17690;21740;21840;20150730;102.0;102;102;358903;T402;J;1239P;;Q;F;12704;87th Rd;;0.0;408.0;d1;;Y;1200A;0130P;GY;;2008.0;;0.0;20 -;21-No Parking (street clean);;;
1937;661925;7752174105;FYS7669;NY;PAS;08/19/2013;38;4DSD;VOLKS;T;65590;25040;25050;20140509;107.0;107;107;358605;T402;D;0119P;;Q;F;179-18;Union Tpke;;0.0;408.0;h1;;Y;0800A;0700P;WH;;2012.0;;0.0;08 -;38-Failure to Display Muni Rec;;;
1938;324037;7581149390;T622943C;NY;OMT;08/06/2013;70;4DSD;TOYOT;T;72120;18520;38620;20130731;43.0;43;43;356190;T202;Q;0126P;;BX;F;2272;Virgil Pl;;0.0;408.0;j3;;YYYYYYY;;;WH;;2009.0;;0.0;Q -;70A-Reg. Sticker Expired (NYS);;;
1940;6350020;4002716910;FHG2802;NY;PAS;03/20/2014;5;4DSD;HONDA;V;0;0;0;0;;0;0;0;;;0158P;;;;;SB NOSTRAND AVE @ EA;STERN PKWY;0.0;1111.0;C;T;;;;GY;;2011.0;;0.0;;BUS LANE VIOLATION;;;
1941;5086184;7959382402;AXU5023;NY;PAS;12/28/2013;70;4DSD;NISSA;T;55100;35490;29343;20131213;121.0;121;121;348538;T303;M;0948A;;R;F;237;Westwood Ave;;0.0;408.0;j3;;YYYYYYY;;;GY;;2009.0;;0.0;B-AM;70A-Reg. Sticker Expired (NYS);;;
1945;7685642;7929192453;GEB4506;NY;PAS;05/06/2014;37;4DSD;HYUND;T;11610;29890;31490;20150106;5.0;5;5;358901;T101;E;1253P;1247P;NY;F;149;Allen St;;0.0;408.0;h1;;Y;0900A;0700P;WH;;2013.0;102-4076;0.0;58 1;37-Expired Muni Meter;;;
1949;7929766;7699786014;GDB2795;NY;PAS;05/14/2014;21;4DSD;HONDA;T;35580;0;0;20141202;61.0;61;61;359295;T302;G;0816A;;K;I;N;E 17th St;85ft E/of Avenue P;0.0;408.0;d1;;Y Y Y;0800A;0830A;BK;;2011.0;;0.0;03 3;21-No Parking (street clean);;;
1950;8332748;7089898933;GHK1513;NY;PAS;05/29/2014;31;4DSD;HONDA;T;8790;15790;15990;20150729;115.0;115;115;357070;T401;J;0301P;;Q;O;75-12;37th Ave;;0.0;408.0;l3;;Y;0900A;0700P;WH;;2009.0;;0.0;51-A;31-No Stand (Com. Mtr. Zone);;;
1959;1157157;4001773144;GBM3091;NY;PAS;09/06/2013;5;4DSD;ACURA;V;6110;40404;40404;0;;0;0;0;;;0816A;;;;;NB 1ST AVE @ 86TH ST;;0.0;1111.0;C;T;;;;GY;;2013.0;;0.0;;BUS LANE VIOLATION;;;
1960;1963518;4001950418;T635676C;NY;OMT;10/03/2013;5;4DSD;TOYOT;V;0;0;0;0;;0;0;0;;;0437P;;;;;EB E 34TH ST @ PARK;AVE;0.0;1111.0;C;T;;;;BK;;2013.0;;0.0;;BUS LANE VIOLATION;;;
1966;2755975;7527197213;FPG8964;NY;PAS;10/30/2013;21;4DSD;HONDA;T;32530;51530;23930;20150709;90.0;90;90;332408;T301;L;0845A;;K;F;199;Devoe St;;0.0;408.0;d1;;Y;0830A;1000A;BK;;2011.0;;0.0;S -;21-No Parking (street clean);;;
1970;4747117;7161427897;FFR3683;NY;PAS;12/21/2013;71;4DSD;VOLKS;T;22550;48200;17450;20141130;120.0;120;120;359289;T303;E;1200P;;R;F;95;Central Ave;;0.0;408.0;j6;;YYYYYYY;;;BLACK;;2006.0;;0.0;01-P;71A-Insp Sticker Expired (NYS);;;
1971;1637396;7702754655;FXS8552;NY;PAS;09/23/2013;71;4DSD;LINCO;T;16280;10880;19030;20140530;62.0;62;62;355667;T302;C;1132A;;K;F;8621;Bay 16th St;;0.0;408.0;j6;;YYYYYYY;;;BK;;2004.0;;0.0;06 -;71A-Insp Sticker Expired (NYS);;;
1973;1844039;7971922000;D3137B;TN;PAS;09/30/2013;21;4DSD;CHEVR;T;26590;36070;36090;20130988;26.0;26;26;355183;T103;E;1107A;;NY;F;54;Morningside Dr;;0.0;408.0;d1;;Y  Y;1100A;1230A;WHITE;;0.0;;0.0;31 -;21-No Parking (street clean);;;
1975;5657096;7274350948;WTJ1523;VA;PAS;02/26/2014;31;4DSD;NISSA;T;13610;13810;30790;20140488;1.0;1;1;358579;T105;H;0242P;;NY;F;504;Broadway;;0.0;408.0;l3;;YYYYY;0700A;0600P;BLUE;;0.0;;0.0;075;31-No Stand (Com. Mtr. Zone);;;
1977;403506;7759482498;FPB4018;NY;PAS;08/08/2013;14;4DSD;LEXUS;T;49690;26170;26190;20150704;105.0;105;105;343942;T402;M;0707A;;Q;F;207-05;Hillside Ave;;0.0;408.0;c;;YYYYY;0700A;0900A;GY;;2002.0;;0.0;J -;14-No Standing;;;
1979;869743;7664954022;GEL4448;NY;PAS;08/27/2013;20;4DSD;HONDA;T;36070;10410;24690;20131218;28.0;28;28;346105;T103;B;0947A;;NY;F;27;W 115th St;;0.0;408.0;d;;YYYYYYY;;;BK;;2007.0;;0.0;CCC;20A-No Parking (Non-COM);;;
1980;3007405;7741139800;LNW64X;NJ;PAS;11/08/2013;21;4DSD;PONTI;T;12310;17110;17130;88888888;9.0;9;9;356518;T105;H;1111A;;NY;F;99;Avenue C;;0.0;408.0;d1;;Y  Y;1100A;1230A;SILVE;;0.0;;0.0;070;21-No Parking (street clean);;;
1981;4765424;7451147435;FTG2002;NY;PAS;12/21/2013;74;4DSD;ACURA;T;22090;0;0;20140324;106.0;106;106;356347;T803;B;0119A;;Q;I;S;133rd Ave;5ft W/of 87th St;0.0;408.0;j2;;;;;GY;;0.0;;0.0;E -;74-Missing Display Plate;;;
1986;2521026;7761964518;GHS8577;NY;PAS;10/23/2013;21;4DSD;BMW;T;28460;0;0;20150916;100.0;100;100;345475;T402;M;0848A;;Q;I;N;Arverne Blvd;25ft W/of Beach 57th;0.0;408.0;d1;;Y;0830A;1000A;GY;;1997.0;;0.0;Q -;21-No Parking (street clean);;;
1990;5976055;7155823624;GEK2865;NY;OMS;03/08/2014;46;4DSD;LEXUS;T;24690;36430;36450;20140930;32.0;32;32;340051;T503;A1;1004A;;NY;F;475;Lenox Ave;;0.0;408.0;f1;;;;;BL;;2013.0;;0.0;18 7;46A-Double Parking (Non-COM);;;
1991;1065954;7699741067;F21CRV;NJ;PAS;09/03/2013;38;4DSD;CHRYS;T;40930;73170;34535;88888888;70.0;70;70;357803;T302;B;0224P;;K;F;1052;Flatbush Ave;;0.0;408.0;h1;;Y;0800A;0700A;SILVE;;0.0;;0.0;08 -;38-Failure to Display Muni Rec;;;
1993;2787271;7181912057;DWW3264;NY;PAS;10/31/2013;20;4DSD;CHEVR;T;27840;10020;58020;20141228;52.0;52;52;346132;T201;M;0713A;;BX;O;265;E 207th St;;0.0;408.0;d;;YYYYYYY;0700A;0400P;RED;;2006.0;;0.0;A -;20A-No Parking (Non-COM);;;
1994;687379;7087064617;FHB7885;NY;PAS;08/20/2013;21;4DSD;TOYOT;T;16380;19030;15780;20141221;62.0;62;62;341913;T302;Y;0901A;;K;O;128;Bay 19th St;;0.0;408.0;d1;;Y;0830A;1000A;BL;;2013.0;;0.0;W -;21-No Parking (street clean);;;
1998;6413557;7127533635;GGL7691;NY;OMS;03/23/2014;40;4DSD;ME/BE;T;18270;10210;10110;20140930;19.0;19;19;354098;T103;A;0925A;;NY;O;200;E 64th St;;0.0;408.0;e2;;YYYYYYY;;;GY;;2013.0;;8.0;D 77;40-Fire Hydrant;;;
2002;3084866;7429182422;321538;DE;PAS;11/11/2013;38;4DSD;NISSA;T;51090;24540;24590;20130088;103.0;103;103;353398;T402;M;0906A;;Q;F;16924;Jamaica Ave;;0.0;408.0;h1;;Y;0900A;0700P;BLUE;;0.0;;0.0;E -;38-Failure to Display Muni Rec;;;
2003;1503603;7657303955;FHV8922;NY;PAS;09/18/2013;21;4DSD;TOYOT;T;10410;18930;22000;20150214;23.0;23;23;354070;T103;C;0837A;;NY;O;1176;5th Ave;;0.0;408.0;d1;;Y;0830A;0900A;BK;;2011.0;;0.0;B -;21-No Parking (street clean);;;
2011;4996227;7987592237;HRD5586;PA;PAS;12/30/2013;21;4DSD;HYUND;T;37190;0;0;20140788;34.0;34;34;347674;T103;AA;0741A;;NY;I;S;W 171st St;22ft W/of St Nichola;0.0;408.0;d1;;Y;0730A;0800A;BLACK;;0.0;;0.0;O -;21-No Parking (street clean);;;
2015;3034232;4002122189;T621594C;NY;OMT;11/08/2013;5;4DSD;TOYOT;V;0;0;0;0;;0;0;0;;;0540P;;;;;WB FORDHAM RD @ SEDG;WICK AVE;0.0;1111.0;C;T;;;;WH;;2012.0;;0.0;;BUS LANE VIOLATION;;;
2018;4854601;7769188398;EDU1507;NY;PAS;12/21/2013;70;4DSD;MAZDA;T;26590;0;0;20131119;26.0;26;26;346105;T103;B;1051A;;NY;I;E;Morningside Dr;100ft N/of W 110th S;0.0;408.0;j3;;YYYYYYY;;;GY;;2008.0;;0.0;CCC;70A-Reg. Sticker Expired (NYS);;;
2023;3816189;5072355111;EWB8577;NY;PAS;01/09/2014;7;4DSD;INFIN;V;0;0;0;0;;0;0;0;;;0148P;;;;;ATLANTIC AVE.(E/B)@P;ENNSLYVANIA AVE.-KS-;0.0;1111.0;D;T;;;;BL;;2006.0;;0.0;;FAILURE TO STOP AT RED LIGHT;;;
2024;3022947;7485915113;FZC9310;NY;PAS;11/08/2013;38;4DSD;ME/BE;T;37290;16590;16740;20140602;110.0;110;110;355281;T803;B;0847P;;Q;F;80-37;Broadway;;0.0;408.0;h1;;Y;0830A;1000P;BK;;2008.0;;0.0;B -;38-Failure to Display Muni Rec;;;
2027;1439245;5070701174;GCF1549;NY;PAS;09/16/2013;7;4DSD;TOYOT;V;0;0;0;0;;0;0;0;;;1238P;;;;;REMSEN AVE.(N/B)@WIN;THROP ST.-LC-2;0.0;1111.0;D;T;;;;BL;;2013.0;;0.0;;FAILURE TO STOP AT RED LIGHT;;;
2031;6371904;7459175171;BYH3732;NY;PAS;03/21/2014;37;4DSD;TOYOT;T;17790;24290;55590;20141013;103.0;103;103;358911;T402;B;0251P;0244P;Q;F;165-08;88th Ave;;0.0;408.0;h1;;Y;0830A;0700P;GY;;2003.0;408-1971;0.0;12 4;37-Expired Muni Meter;;;
2035;1297990;7765044734;DZJ9394;NY;PAS;09/11/2013;17;4DSD;TOYOT;T;18040;24190;24240;20150620;103.0;103;103;356301;T402;B;0501P;;Q;O;163-18;89th Ave;;0.0;408.0;c4;;YYYYYY;;;BL;;2002.0;;0.0;04 -;17-No Stand (exc auth veh);;;
2036;8915374;7848390627;FHM2765;NY;PAS;06/18/2014;21;4DSD;TOYOT;T;16340;54580;23040;20160617;107.0;107;107;354051;T402;M;1059A;;Q;F;14433;79th Ave;;0.0;408.0;d1;;Y;1030A;1200A;BK;;2013.0;;0.0;D 42;21-No Parking (street clean);;;
2039;8609283;7909563796;GKR2111;NY;PAS;06/07/2014;38;4DSD;INFIN;T;17530;13612;10210;20151009;13.0;13;13;357078;T102;D;0915A;;NY;F;160;E 27th St;;0.0;408.0;h1;;Y;0900A;0700P;BL;;2007.0;;0.0;23 6;38-Failure to Display Muni Rec;;;
2040;5516928;7706696110;K96CJV;NJ;PAS;02/21/2014;40;4DSD;TOYOT;T;10630;40404;40404;88888888;68.0;68;68;331325;T302;L;1043A;;K;O;8102;81st St;;0.0;408.0;e2;;YYYYYYY;;;BLUE;;0.0;;3.0;E 32;40-Fire Hydrant;;;
2042;4855075;7795113382;A35CKX;NJ;PAS;12/11/2013;46;4DSD;TOYOT;T;65320;26550;8020;88888888;41.0;41;41;358917;T202;A;0101P;;BX;F;942;Southern Blvd;;0.0;408.0;f1;;;;;GREY;;0.0;;0.0;17A;46A-Double Parking (Non-COM);;;
2044;8229071;7412768335;GMJ3420;NY;PAS;05/24/2014;20;4DSD;BMW;T;29620;12550;8920;20160306;46.0;46;46;357682;T201;M;0548A;;BX;F;229;E Tremont Ave;;0.0;408.0;d;;YYYYYYY;;;BK;;2010.0;;0.0;G 21;20A-No Parking (Non-COM);;;
2052;5075318;7698288237;CMS1013;NY;PAS;12/28/2013;46;4DSD;HONDA;T;9880;5580;5680;20150916;68.0;68;68;355069;T302;P;0948A;;K;F;561;66th St;;0.0;408.0;f1;;;;;GY;;2002.0;;0.0;21 -;46A-Double Parking (Non-COM);;;
2056;8089128;7090889890;GGC9306;NY;PAS;05/20/2014;70;4DSD;HONDA;T;0;40404;40404;88888888;114.0;114;114;356503;T401;O;0847P;;Q;I;;Steinway Lot #1;;0.0;408.0;j3;;;;;BLACK;;0.0;;0.0;G 41;70-Reg. Sticker Missing (NYS);;;
2059;6331579;7197989024;BDF3539;NY;PAS;03/20/2014;21;4DSD;FORD;T;76330;14780;35380;20140416;61.0;61;61;346389;T302;U;0844A;;K;F;1208;Sheepshead Bay Rd;;0.0;408.0;d1;;Y;0830A;1000A;GY;;2002.0;;0.0;S 32;21-No Parking (street clean);;;
2067;446727;7458778866;FYY5086;NY;PAS;08/10/2013;38;4DSD;VOLKS;T;24140;18040;51090;20131128;103.0;103;103;358179;T402;T;0122P;;Q;O;89-75;162nd St;;0.0;408.0;h1;;Y;0900A;0700P;GR;;0.0;;0.0;12 -;38-Failure to Display Muni Rec;;;
2069;3730306;7920379878;HVF0544;PA;PAS;01/07/2014;31;4DSD;DODGE;T;34890;0;0;88880088;17.0;17;17;358892;T102;M;0336P;;NY;I;N;W 56th St;35ft W/of Broadway;0.0;408.0;l3;;YYYYY;0700A;0600P;OTHER;;0.0;;0.0;99 -;31-No Stand (Com. Mtr. Zone);;;
2070;1213468;7703452555;GED9724;NY;PAS;09/09/2013;21;4DSD;TOYOT;T;22080;67830;22230;20150715;61.0;61;61;356487;T302;A;0818A;;K;F;3022;Brighton 7th St;;0.0;408.0;d1;;Y;0800A;0930A;BL;;1994.0;;0.0;41 -;21-No Parking (street clean);;;
2071;6515816;7603227860;FGF1037;NY;PAS;03/26/2014;40;4DSD;CHRYS;T;17290;27110;10010;20150206;9.0;9;9;350423;T105;N;0237P;;NY;F;336;E 15th St;;0.0;408.0;e2;;YYYYYYY;;;WH;;2006.0;;6.0;T 99;40-Fire Hydrant;;;
2073;2632339;7193109893;FJS6143;NY;PAS;10/26/2013;37;4DSD;HYUND;T;36420;27300;29220;20150304;46.0;46;46;358924;T201;G;1253P;1240P;BX;F;2475;Grand Concourse;;0.0;408.0;h1;;Y;0830A;0700P;BL;;2011.0;201-3051;0.0;27 -;37-Expired Muni Meter;;;
2076;3185728;4002134830;EES6419;NY;PAS;11/14/2013;5;4DSD;FORD;V;0;0;0;0;;0;0;0;;;0311P;;;;;SB HYLAN BLVD @ GARR;ETSON AVE;0.0;1111.0;C;T;;;;WH;;2013.0;;0.0;;BUS LANE VIOLATION;;;
2077;3165832;7000140501;GJM2290;NY;PAS;11/14/2013;21;4DSD;CHRYS;T;9540;0;0;20150814;110.0;110;110;358134;T401;B;0948A;;Q;I;N;41st Ave;10ft W/of 108th St;0.0;408.0;d1;;Y;0930A;1100A;BK;;2010.0;;0.0;17-A;21-No Parking (street clean);;;
2081;8888661;8005600185;DBM8520;NY;PAS;06/17/2014;38;4DSD;TOYOT;T;13490;9140;61090;20141027;108.0;108;108;354032;T401;M;0744A;;Q;F;39-08A;64th St;;0.0;408.0;h1;;Y;0730A;0800P;TN;;2002.0;;0.0;S 41;38-Failure to Display Muni Rec;;;
